"gics_sector","sum_low","sum_high"
"Technology",43165630,150675000
"Funds & ETFs",18669069,62610000
"Industrials",13113263,45820000
"Consumer Cyclical",10714224,31110000
"Financial Services",9680333,25175000
"Consumer Defensive",6456131,21240000
"Communication Services",7575150,20975000
"Healthcare",7331238,18815000
"Real Estate",3898100,9320000
"Utilities",2002086,5380000
"Basic Materials",1905052,4625000
"Energy",1165070,3600000
